cohort,model,ap,fraction,selected_count,selected_positives,total_positives,recall,precision,lift
7301,candidate,0.4204563724102648,0.1,160,49,107,0.4579439252336448,0.30625,4.570852803738318
7301,lightgbm_reference,0.3132405806670198,0.1,160,52,107,0.4859813084112149,0.325,4.850700934579439
7301,logistic_reference,0.3553902448255216,0.1,160,49,107,0.4579439252336448,0.30625,4.570852803738318
7301,lightgbm_tuned,0.3132405806670198,0.1,160,52,107,0.4859813084112149,0.325,4.850700934579439
7301,logistic_regression_tuned,0.4047410255438281,0.1,160,51,107,0.4766355140186916,0.31875,4.757418224299065
7302,candidate,0.3751523172607036,0.1,173,65,137,0.4744525547445255,0.3757225433526011,4.719843044597274
7302,lightgbm_reference,0.4110285226956894,0.1,173,67,137,0.4890510948905109,0.3872832369942196,4.865068984431036
7302,logistic_reference,0.3757251431157584,0.1,173,58,137,0.4233576642335766,0.3352601156069364,4.2115522551791065
7302,lightgbm_tuned,0.4110285226956894,0.1,173,67,137,0.4890510948905109,0.3872832369942196,4.865068984431036
7302,logistic_regression_tuned,0.4052689189059845,0.1,173,65,137,0.4744525547445255,0.3757225433526011,4.719843044597274
7303,candidate,0.4282242771742485,0.1,165,75,173,0.4335260115606936,0.4545454545454545,4.316868102995271
7303,lightgbm_reference,0.3942079067290593,0.1,165,78,173,0.4508670520231214,0.4727272727272727,4.4895428271150815
7303,logistic_reference,0.3422983053737074,0.1,165,70,173,0.4046242774566474,0.4242424242424242,4.029076896128919
7303,lightgbm_tuned,0.3942079067290593,0.1,165,78,173,0.4508670520231214,0.4727272727272727,4.4895428271150815
7303,logistic_regression_tuned,0.3841009911864895,0.1,165,74,173,0.4277456647398844,0.4484848484848485,4.259309861622
