cohort,candidate,family,status,validation_ap,elapsed_seconds,best_epoch
42,lightgbm_reference,lightgbm,COMPLETED,0.3272819359371966,0.4767359999968903,
42,logistic_reference,logistic_regression,COMPLETED,0.33693019384570433,0.20386640000288025,
42,lightgbm_tuned_0,lightgbm,COMPLETED,0.25780846403833296,0.17424380000011297,
42,lightgbm_tuned_1,lightgbm,COMPLETED,0.31490837500952307,0.2630479999970703,
42,lightgbm_tuned_2,lightgbm,COMPLETED,0.3076689738193209,0.22154959999897983,
42,lightgbm_tuned_3,lightgbm,COMPLETED,0.3284771224273715,0.3590132999997877,
42,lightgbm_tuned_4,lightgbm,COMPLETED,0.3299775051876663,0.44388959999923827,
42,lightgbm_tuned_5,lightgbm,COMPLETED,0.22969943191278963,0.1794577999971807,
42,logistic_tuned_0,logistic_regression,COMPLETED,0.34382355614178095,0.14564199999949778,
42,logistic_tuned_1,logistic_regression,COMPLETED,0.3386077517881475,0.17276499999934458,
42,logistic_tuned_2,logistic_regression,COMPLETED,0.33392214710064266,0.22966280000036932,
42,logistic_tuned_3,logistic_regression,COMPLETED,0.33373254526675133,0.2587289000002784,
42,tabm_00,tabm,COMPLETED,0.3197272555237948,14.48093279999739,31.0
42,tabm_01,tabm,COMPLETED,0.3264757631930972,7.697290300002351,11.0
42,tabm_02,tabm,COMPLETED,0.2985103000255411,7.528155700001662,9.0
42,tabm_03,tabm,COMPLETED,0.3134125839708534,6.486466600003041,5.0
42,tabm_04,tabm,COMPLETED,0.33835983208786496,24.627360300000873,73.0
42,tabm_05,tabm,COMPLETED,0.35166827825368585,27.278358300001855,84.0
42,tabm_06,tabm,COMPLETED,0.3040116445342297,16.15568820000044,43.0
42,tabm_07,tabm,COMPLETED,0.2893096477386205,23.380446799998026,11.0
42,tabm_08,tabm,COMPLETED,0.3124195507431648,17.396458100000018,9.0
42,tabm_09,tabm,COMPLETED,0.3176598676003511,13.390519399999903,16.0
42,tabm_10,tabm,COMPLETED,0.328430733334121,9.933065900000656,18.0
42,tabm_11,tabm,COMPLETED,0.3125775157300607,11.86659520000103,5.0
42,realmlp_0,realmlp,COMPLETED,0.32355597276911396,34.589496900000086,
42,realmlp_1,realmlp,COMPLETED,0.3161809337545672,25.1323020000018,
42,realmlp_2,realmlp,COMPLETED,0.31626779048491865,24.39787140000044,
42,realmlp_3,realmlp,COMPLETED,0.3334544248337857,32.05072830000063,
42,tabicl_0,tabicl,COMPLETED,0.31102092152899385,158.2604108000014,
42,tabicl_1,tabicl,COMPLETED,0.3637205951448783,97.02171190000081,
42,mlp_tuned_0,mlp,COMPLETED,0.3152432153044566,4.8895315999980085,
42,mlp_tuned_1,mlp,COMPLETED,0.30626969422838024,5.463940400000865,
42,mlp_tuned_2,mlp,COMPLETED,0.3321851665471659,6.057027999999264,
42,mlp_tuned_3,mlp,COMPLETED,0.3118263089416988,5.08030940000026,
42,tabm_refine_15,tabm,COMPLETED,0.311654825255522,17.284622600000148,28.0
42,tabm_refine_20,tabm,COMPLETED,0.30686281955943573,11.046128899997711,15.0
42,tabm_refine_40,tabm,COMPLETED,0.3504375118202885,16.667535800002952,35.0
42,residual_mlp_0,residual_mlp,COMPLETED,0.32949114943202296,1.4926024000014877,1.0
42,residual_mlp_1,residual_mlp,COMPLETED,0.3401470432103425,1.432199999999284,0.0
42,residual_mlp_2,residual_mlp,COMPLETED,0.36009731855127736,2.749340399997891,24.0
42,residual_mlp_3,residual_mlp,COMPLETED,0.3435809824185608,4.161685299997771,50.0
42,residual_mlp_4,residual_mlp,COMPLETED,0.32125069237481574,1.6331480999979249,5.0
42,residual_mlp_5,residual_mlp,COMPLETED,0.35901109966798267,2.629637600002752,24.0
42,tabicl_refine_20,tabicl,COMPLETED,0.2994886747481688,90.98680400000012,
42,tabicl_refine_45,tabicl,COMPLETED,0.3471025179550993,117.98855729999923,
42,lightgbm_unweighted_0,lightgbm,COMPLETED,0.29696385411505394,0.4375341999984812,
42,lightgbm_unweighted_1,lightgbm,COMPLETED,0.2939433154004957,0.14911930000016582,
42,lightgbm_unweighted_2,lightgbm,COMPLETED,0.2990676113901107,0.18321740000101272,
42,lightgbm_unweighted_3,lightgbm,COMPLETED,0.3049604691846495,0.1728110000003653,
42,logistic_unweighted_0,logistic_regression,COMPLETED,0.33174271683495893,0.1681905999976152,
42,logistic_unweighted_1,logistic_regression,COMPLETED,0.32964663890817725,0.19876119999753428,
42,logistic_unweighted_2,logistic_regression,COMPLETED,0.31766653427309177,0.23420640000040294,
42,logistic_unweighted_3,logistic_regression,COMPLETED,0.3142383659534132,0.2719443999994837,
42,tabpfn_30,tabpfn,COMPLETED,0.3437137873388667,229.0224511999986,
42,tabpfn_full,tabpfn,COMPLETED,0.32496582001808044,536.5070288999996,
43,lightgbm_reference,lightgbm,COMPLETED,0.370935898934306,0.424146400000609,
43,logistic_reference,logistic_regression,COMPLETED,0.2832974565106224,0.2280122999982268,
43,lightgbm_tuned_0,lightgbm,COMPLETED,0.32257321093857333,0.12207990000024438,
43,lightgbm_tuned_1,lightgbm,COMPLETED,0.3487836440917323,0.1458191000019724,
43,lightgbm_tuned_2,lightgbm,COMPLETED,0.38039763658930476,0.17477270000017597,
43,lightgbm_tuned_3,lightgbm,COMPLETED,0.3145909675911664,0.15395489999718848,
43,lightgbm_tuned_4,lightgbm,COMPLETED,0.39582570092892577,0.20071869999810588,
43,lightgbm_tuned_5,lightgbm,COMPLETED,0.3774660917136083,0.19717430000309832,
43,logistic_tuned_0,logistic_regression,COMPLETED,0.3124032085931218,0.16464360000099987,
43,logistic_tuned_1,logistic_regression,COMPLETED,0.2937680978012027,0.1934679000005417,
43,logistic_tuned_2,logistic_regression,COMPLETED,0.2782618719247129,0.23803310000221245,
43,logistic_tuned_3,logistic_regression,COMPLETED,0.27732093904549604,0.2662607000020216,
43,tabm_00,tabm,COMPLETED,0.3699855486512175,17.423896700001933,38.0
43,tabm_01,tabm,COMPLETED,0.3571514641086122,12.34356359999947,28.0
43,tabm_02,tabm,COMPLETED,0.38457493136666837,13.95291079999879,35.0
43,tabm_03,tabm,COMPLETED,0.3843612794669616,9.947352999999566,23.0
43,tabm_04,tabm,COMPLETED,0.3346690822864615,12.678916400000162,35.0
43,tabm_05,tabm,COMPLETED,0.30660282182891074,9.309622799999488,22.0
43,tabm_06,tabm,COMPLETED,0.407788788782298,18.51541780000116,61.0
43,tabm_07,tabm,COMPLETED,0.3717239635742624,41.47794700000304,38.0
43,tabm_08,tabm,COMPLETED,0.421242759185471,25.857325299999502,24.0
43,tabm_09,tabm,COMPLETED,0.3228277437317653,15.20353470000191,22.0
43,tabm_10,tabm,COMPLETED,0.3661139883411569,16.65295740000147,45.0
43,tabm_11,tabm,COMPLETED,0.372871250041717,15.116109500002494,12.0
43,realmlp_0,realmlp,COMPLETED,0.43010930855729873,31.872269600000436,
43,realmlp_1,realmlp,COMPLETED,0.4373095332497915,24.02051349999965,
43,realmlp_2,realmlp,COMPLETED,0.3420941973832436,23.1691737000001,
43,realmlp_3,realmlp,COMPLETED,0.4200617671493592,28.2126219999991,
43,tabicl_0,tabicl,COMPLETED,0.3680626351775391,154.85983000000124,
43,tabicl_1,tabicl,COMPLETED,0.281779279723024,103.25103269999818,
43,mlp_tuned_0,mlp,COMPLETED,0.38439402626307806,6.682949500001996,
43,mlp_tuned_1,mlp,COMPLETED,0.3451336203663851,8.012463399998524,
43,mlp_tuned_2,mlp,COMPLETED,0.3756105678274848,8.595002699999895,
43,mlp_tuned_3,mlp,COMPLETED,0.33311578646572293,5.845029199997953,
43,tabm_refine_15,tabm,COMPLETED,0.3014927494986365,13.813735500003531,8.0
43,tabm_refine_20,tabm,COMPLETED,0.31261069394144575,10.38005239999984,9.0
43,tabm_refine_40,tabm,COMPLETED,0.345593196484512,25.577088699999877,54.0
43,residual_mlp_0,residual_mlp,COMPLETED,0.3399279747427789,2.2254640999999538,9.0
43,residual_mlp_1,residual_mlp,COMPLETED,0.3291149301939557,2.6379854999977397,12.0
