seed,name,inference_seconds
9101,rank_mlp_True_1.0,0.45046240000010584
9101,rank_mlp_False_0.0,0.011893599999893922
9101,lightgbm_reference,0.030958200000895886
9101,logistic_reference,0.010115000000951113
9101,realmlp_3,0.04641970000011497
9101,realmlp_0,0.04311959999904502
9101,realmlp_1,0.04398650000075577
9101,tabm_08,0.08370270000159508
9101,mlp_tuned_2,0.011530499999935273
9101,cat_wide_all_d5,0.01469100000031176
9101,ehr_hybridTrue_pre0,1.3686999999990803
9102,rank_mlp_True_1.0,0.3761605999970925
9102,rank_mlp_False_0.0,0.010524499997700332
9102,lightgbm_reference,0.009764499998709653
9102,logistic_reference,0.00952289999986533
9102,realmlp_3,0.05051380000077188
9102,realmlp_0,0.039709799999400275
9102,realmlp_1,0.04526550000082352
9102,tabm_08,0.07876209999813
9102,mlp_tuned_2,0.009142099999735365
9102,cat_wide_all_d5,0.012147500001447042
9102,ehr_hybridTrue_pre0,1.5218085999986215
9103,rank_mlp_True_1.0,0.37781149999864283
9103,rank_mlp_False_0.0,0.01236129999961122
9103,lightgbm_reference,0.012931500001286622
9103,logistic_reference,0.00864009999713744
9103,realmlp_3,0.04170709999743849
9103,realmlp_0,0.04008849999809172
9103,realmlp_1,0.04262670000025537
9103,tabm_08,0.08529009999983828
9103,mlp_tuned_2,0.013371100001677405
9103,cat_wide_all_d5,0.012842399999499321
9103,ehr_hybridTrue_pre0,1.5113845999985642
9104,rank_mlp_True_1.0,0.41057870000076946
9104,rank_mlp_False_0.0,0.01095079999868176
9104,lightgbm_reference,0.013245499998447485
9104,logistic_reference,0.010021199999755481
9104,realmlp_3,0.04739989999870886
9104,realmlp_0,0.044304300001385855
9104,realmlp_1,0.042462800000066636
9104,tabm_08,0.09141309999904479
9104,mlp_tuned_2,0.00992469999982859
9104,cat_wide_all_d5,0.010808999999426305
9104,ehr_hybridTrue_pre0,1.592857499999809
9105,rank_mlp_True_1.0,0.391438400001789
9105,rank_mlp_False_0.0,0.014048600001842715
9105,lightgbm_reference,0.013512100002117222
9105,logistic_reference,0.011113500000647036
9105,realmlp_3,0.046275900000182446
9105,realmlp_0,0.05077499999970314
9105,realmlp_1,0.03843109999797889
9105,tabm_08,0.08286299999963376
9105,mlp_tuned_2,0.009545299999444978
9105,cat_wide_all_d5,0.011396800000511575
9105,ehr_hybridTrue_pre0,1.542032699999254
