name,family,history,latest_only,mean_recall,mean_ap,cohorts
rank_mlp_True_1.0,rank_mlp,True,True,0.4736659736659736,0.4737471188685202,3
rank_mlp_True_0.0,rank_mlp,True,True,0.47320397320397317,0.4904985899427499,3
ehr_hybridTrue_pre0,ehr_transformer,True,True,0.47320397320397317,0.479475754541367,3
retain_hybrid,retain,True,True,0.47320397320397317,0.4736971505430012,3
rank_mlp_False_0.0,rank_mlp,False,True,0.47320397320397317,0.47090322968285725,3
ehr_hybridTrue_pre5,ehr_transformer,True,True,0.47320397320397317,0.4701701957058057,3
rank_mlp_False_1.0,rank_mlp,False,True,0.4711018711018711,0.4766781705606247,3
cat_wide_all_d5,catboost,False,False,0.46465696465696466,0.49909950855185875,3
cat_history_all_d3,catboost,True,False,0.46419496419496414,0.4827098725038328,3
lgb_wide_latest,lgbm_capacity,False,True,0.46255486255486256,0.4325315507977096,3
lr_wide_latest_0.1,logistic_regression,False,True,0.4620928620928621,0.48393436956550834,3
realmlp_1,realmlp,False,False,0.4620928620928621,0.4764490258858866,3
tabm_04,tabm,False,False,0.4620928620928621,0.4686022627261159,3
mlp_tuned_3,mlp,False,False,0.4565719565719566,0.45573068981428494,3
residual_mlp_5,tabm,False,False,0.45610995610995614,0.4623095718348878,3
lr_history_latest_0.01,logistic_regression,True,True,0.4556479556479556,0.4784913112569283,3
