seed,name,family,history,latest_only,seconds,origin,patients,positives,selected,captured,recall,precision,lift,ap
42,lightgbm_reference,lightgbm,False,False,0.4767359999968903,reused exact prior development predictions,348,30,35,12,0.4,0.34285714285714286,3.977142857142857,0.4512279302772678
42,logistic_reference,logistic_regression,False,False,0.20386640000288025,reused exact prior development predictions,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.4707739189681285
42,lightgbm_tuned_0,lightgbm,False,False,0.17424380000011297,reused exact prior development predictions,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.34868261258722394
42,lightgbm_tuned_1,lightgbm,False,False,0.2630479999970703,reused exact prior development predictions,348,30,35,11,0.36666666666666664,0.3142857142857143,3.6457142857142855,0.4326620366170202
42,lightgbm_tuned_2,lightgbm,False,False,0.22154959999897983,reused exact prior development predictions,348,30,35,11,0.36666666666666664,0.3142857142857143,3.6457142857142855,0.42833116124031434
42,lightgbm_tuned_3,lightgbm,False,False,0.3590132999997877,reused exact prior development predictions,348,30,35,11,0.36666666666666664,0.3142857142857143,3.6457142857142855,0.4437872989320971
42,lightgbm_tuned_4,lightgbm,False,False,0.44388959999923827,reused exact prior development predictions,348,30,35,12,0.4,0.34285714285714286,3.977142857142857,0.4582305091814248
42,lightgbm_tuned_5,lightgbm,False,False,0.1794577999971807,reused exact prior development predictions,348,30,35,10,0.3333333333333333,0.2857142857142857,3.314285714285714,0.3206878666652916
42,logistic_tuned_0,logistic_regression,False,False,0.14564199999949778,reused exact prior development predictions,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.4802928871874792
42,logistic_tuned_1,logistic_regression,False,False,0.17276499999934458,reused exact prior development predictions,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.4666214425738379
42,logistic_tuned_2,logistic_regression,False,False,0.22966280000036932,reused exact prior development predictions,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.4636405232030573
42,logistic_tuned_3,logistic_regression,False,False,0.2587289000002784,reused exact prior development predictions,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.46252422466001825
42,tabm_00,tabm,False,False,14.48093279999739,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.415419115895791
42,tabm_01,tabm,False,False,7.697290300002351,reused exact prior development predictions,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.4484708828064211
42,tabm_02,tabm,False,False,7.528155700001662,reused exact prior development predictions,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.4232379885407411
42,tabm_03,tabm,False,False,6.486466600003041,reused exact prior development predictions,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.45599562585778586
42,tabm_04,tabm,False,False,24.627360300000873,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.4457514399817323
42,tabm_05,tabm,False,False,27.278358300001855,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.45576095396576033
42,tabm_06,tabm,False,False,16.15568820000044,reused exact prior development predictions,348,30,35,12,0.4,0.34285714285714286,3.977142857142857,0.42071407316981474
42,tabm_07,tabm,False,False,23.380446799998026,reused exact prior development predictions,348,30,35,11,0.36666666666666664,0.3142857142857143,3.6457142857142855,0.42205571574932205
42,tabm_08,tabm,False,False,17.396458100000018,reused exact prior development predictions,348,30,35,12,0.4,0.34285714285714286,3.977142857142857,0.43299749733949244
42,tabm_09,tabm,False,False,13.390519399999903,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.4395079676679743
42,tabm_10,tabm,False,False,9.933065900000656,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.449298407066226
42,tabm_11,tabm,False,False,11.86659520000103,reused exact prior development predictions,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.44859613761351386
42,realmlp_0,realmlp,False,False,34.589496900000086,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.44261613126945876
42,realmlp_1,realmlp,False,False,25.1323020000018,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.42577291471277223
42,realmlp_2,realmlp,False,False,24.39787140000044,reused exact prior development predictions,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.42823218802085705
42,realmlp_3,realmlp,False,False,32.05072830000063,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.43923507236673137
42,tabicl_0,tabicl,False,False,158.2604108000014,reused exact prior development predictions,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.41062139567793754
42,tabicl_1,tabicl,False,False,97.02171190000081,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.47755325080678857
42,mlp_tuned_0,mlp,False,False,4.8895315999980085,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.45905588995191704
42,mlp_tuned_1,mlp,False,False,5.463940400000865,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.4358119334347167
42,mlp_tuned_2,mlp,False,False,6.057027999999264,reused exact prior development predictions,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.45423584370422826
42,mlp_tuned_3,mlp,False,False,5.08030940000026,reused exact prior development predictions,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.4325347132704419
42,tabm_refine_15,tabm,False,False,17.284622600000148,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.45509467817633803
42,tabm_refine_20,tabm,False,False,11.046128899997711,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.43988672917474947
42,tabm_refine_40,tabm,False,False,16.667535800002952,reused exact prior development predictions,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.45895795123480865
42,residual_mlp_0,tabm,False,False,1.4926024000014877,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.4446210898611397
42,residual_mlp_1,tabm,False,False,1.432199999999284,reused exact prior development predictions,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.4709928607946689
42,residual_mlp_2,tabm,False,False,2.749340399997891,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.4723242050594615
42,residual_mlp_3,tabm,False,False,4.161685299997771,reused exact prior development predictions,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.44826956962593245
42,residual_mlp_4,tabm,False,False,1.6331480999979249,reused exact prior development predictions,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.4232750010603935
42,residual_mlp_5,tabm,False,False,2.629637600002752,reused exact prior development predictions,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.47296841907639564
42,tabicl_refine_20,tabicl,False,False,90.98680400000012,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.44091227292735913
42,tabicl_refine_45,tabicl,False,False,117.98855729999923,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.4625923111413215
42,lightgbm_unweighted_0,lightgbm,False,False,0.4375341999984812,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.42614169020587467
42,lightgbm_unweighted_1,lightgbm,False,False,0.14911930000016582,reused exact prior development predictions,348,30,35,12,0.4,0.34285714285714286,3.977142857142857,0.4244466985161255
42,lightgbm_unweighted_2,lightgbm,False,False,0.18321740000101272,reused exact prior development predictions,348,30,35,12,0.4,0.34285714285714286,3.977142857142857,0.42830452264247404
42,lightgbm_unweighted_3,lightgbm,False,False,0.1728110000003653,reused exact prior development predictions,348,30,35,11,0.36666666666666664,0.3142857142857143,3.6457142857142855,0.4323217114694931
42,logistic_unweighted_0,logistic_regression,False,False,0.1681905999976152,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.4656248811870273
42,logistic_unweighted_1,logistic_regression,False,False,0.19876119999753428,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.44588033175924063
42,logistic_unweighted_2,logistic_regression,False,False,0.23420640000040294,reused exact prior development predictions,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.42413236329798254
42,logistic_unweighted_3,logistic_regression,False,False,0.2719443999994837,reused exact prior development predictions,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.4172619497532415
42,tabpfn_30,tabpfn,False,False,229.0224511999986,reused exact prior development predictions,348,30,35,14,0.4666666666666667,0.4,4.64,0.4539861602002586
42,tabpfn_full,tabpfn,False,False,536.5070288999996,reused exact prior development predictions,348,30,35,12,0.4,0.34285714285714286,3.977142857142857,0.4340384812177952
42,cat_wide_all_d3,catboost,False,False,3.4133694999982254,new fit,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.43359712822444313
42,cat_wide_all_d5,catboost,False,False,4.056688000000577,new fit,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.4810797698819789
42,xgb_wide_all_d2,xgboost,False,False,3.0917790999992576,new fit,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.3865890223043338
42,xgb_wide_all_d3,xgboost,False,False,1.035922399998526,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.39219232008583005
42,lgb_wide_all,lgbm_capacity,False,False,1.4876010000007227,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.37283586622763926
42,lr_wide_all_0.01,logistic_regression,False,False,0.21845370000301045,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.4656248811870273
42,lr_wide_all_0.1,logistic_regression,False,False,0.34344729999793344,new fit,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.433514726348185
42,cat_wide_latest_d3,catboost,False,True,1.5592940999995335,new fit,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.47311595777992715
42,cat_wide_latest_d5,catboost,False,True,2.608208599998761,new fit,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.44249761823725814
42,xgb_wide_latest_d2,xgboost,False,True,0.7011875999996846,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.4451463922251547
42,xgb_wide_latest_d3,xgboost,False,True,0.7870221000011952,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.38087375767345877
42,lgb_wide_latest,lgbm_capacity,False,True,0.8697074000010616,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.415781689225243
42,lr_wide_latest_0.01,logistic_regression,False,True,0.13731489999918267,new fit,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.4944757183026907
42,lr_wide_latest_0.1,logistic_regression,False,True,0.13542709999819635,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.4919369395699129
42,lambda_False,lambdarank,False,True,1.218705499999487,new fit,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.42236913690281364
42,rank_mlp_False_0.0,rank_mlp,False,True,3.5770510000002105,new fit,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.45932258815445026
42,rank_mlp_False_1.0,rank_mlp,False,True,0.9750583000022743,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.46335152993734574
42,cat_history_all_d3,catboost,True,False,5.65897749999931,new fit,348,30,35,15,0.5,0.42857142857142855,4.971428571428571,0.4473664695870141
42,cat_history_all_d5,catboost,True,False,8.149840900001436,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.46076772031080193
42,xgb_history_all_d2,xgboost,True,False,3.7109930999977223,new fit,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.3826363691770913
42,xgb_history_all_d3,xgboost,True,False,3.954732199999853,new fit,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.394658818283876
42,lgb_history_all,lgbm_capacity,True,False,3.837180400001671,new fit,348,30,35,12,0.4,0.34285714285714286,3.977142857142857,0.39278693755641764
42,lr_history_all_0.01,logistic_regression,True,False,2.659557399998448,new fit,348,30,35,13,0.43333333333333335,0.37142857142857144,4.308571428571429,0.4284198360908862
42,lr_history_all_0.1,logistic_regression,True,False,2.773916399997688,new fit,348,30,35,12,0.4,0.34285714285714286,3.977142857142857,0.39383179954432224
42,cat_history_latest_d3,catboost,True,True,3.9411995000009483,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.48028860836038373
42,cat_history_latest_d5,catboost,True,True,5.8623517000014544,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.4654550992689938
42,xgb_history_latest_d2,xgboost,True,True,2.466120900000533,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.4342021584496078
42,xgb_history_latest_d3,xgboost,True,True,2.5129497999987507,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.42309366024271633
42,lgb_history_latest,lgbm_capacity,True,True,2.54676329999711,new fit,348,30,35,14,0.4666666666666667,0.4,4.64,0.39654666959523327
